epsilon, alpha, pop1, pop2, dif1, dif2, difratio, winner
.01, 2.15, 207.5, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.6875, 184.375, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.4562499999999998, 172.8125, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.571875, 178.59375, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5140624999999999, 175.70312499999997, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.54296875, 177.1484375, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.557421875, 177.87109375, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5646484374999998, 178.232421875, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.56103515625, 178.0517578125, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.559228515625, 177.96142578125, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5601318359375, 178.006591796875, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5596801757812502, 177.9840087890625, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5594543457031251, 177.97271728515625, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5593414306640625, 177.96707153320312, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5592849731445313, 177.96424865722656, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5592567443847658, 177.96283721923828, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5592708587646484, 177.96354293823242, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5592779159545898, 177.9638957977295, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.559274387359619, 177.96371936798096, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5592761516571043, 177.96380758285522, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.559277033805847, 177.96385169029233, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5592774748802185, 177.96387374401093, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5592772543430327, 177.96386271715164, 50, 1.0, 20.0, 0.050000000000000003, 1
.01, 1.5592771440744397, 177.96385720372197, 50, 1.0, 20.0, 0.050000000000000003, 2
.01, 1.5592771992087362, 177.96385996043682, 50, 1.0, 20.0, 0.050000000000000003, 3
.01, 2.15, 207.5, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.6875, 184.375, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4562499999999998, 172.8125, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.3406249999999997, 167.03124999999997, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.3984374999999998, 169.921875, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.42734375, 171.3671875, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.4417968749999999, 172.08984374999997, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4345703125, 171.728515625, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.43095703125, 171.5478515625, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4291503906249998, 171.45751953125, 50, 2.0, 19.0, 0.10526315789473684, 2
