epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.05, 1, 152.5, 100, 5.0, 10, 0.5, 2, 31
.01, 1.525, 1, 176.25, 100, 5.0, 10, 0.5, 1, 7
.01, 1.2875, 1, 164.375, 100, 5.0, 10, 0.5, 1, 17
.01, 1.1687500000000002, 1, 158.4375, 100, 5.0, 10, 0.5, 1, 63
.01, 1.109375, 1, 155.46875, 100, 5.0, 10, 0.5, 2, 124
.01, 1.1390625, 1, 156.953125, 100, 5.0, 10, 0.5, 1, 243
.01, 1.12421875, 1, 156.2109375, 100, 5.0, 10, 0.5, 3, 250
.01, 1.05, 1, 152.5, 100, 6.0, 10, 0.59999999999999998, 2, 51
.01, 1.525, 1, 176.25, 100, 6.0, 10, 0.59999999999999998, 1, 6
.01, 1.2875, 1, 164.375, 100, 6.0, 10, 0.59999999999999998, 1, 13
.01, 1.1687500000000002, 1, 158.4375, 100, 6.0, 10, 0.59999999999999998, 1, 32
.01, 1.109375, 1, 155.46875, 100, 6.0, 10, 0.59999999999999998, 1, 151
.01, 1.0796875, 1, 153.984375, 100, 6.0, 10, 0.59999999999999998, 2, 158
.01, 1.09453125, 1, 154.7265625, 100, 6.0, 10, 0.59999999999999998, 3, 250
.01, 1.05, 1, 152.5, 100, 7.0, 10, 0.69999999999999996, 2, 143
.01, 1.525, 1, 176.25, 100, 7.0, 10, 0.69999999999999996, 1, 6
.01, 1.2875, 1, 164.375, 100, 7.0, 10, 0.69999999999999996, 1, 11
.01, 1.1687500000000002, 1, 158.4375, 100, 7.0, 10, 0.69999999999999996, 1, 22
.01, 1.109375, 1, 155.46875, 100, 7.0, 10, 0.69999999999999996, 1, 50
.01, 1.0796875, 1, 153.984375, 100, 7.0, 10, 0.69999999999999996, 1, 149
.01, 1.06484375, 1, 153.2421875, 100, 7.0, 10, 0.69999999999999996, 3, 250
.01, 1.05, 1, 152.5, 100, 8.0, 10, 0.80000000000000004, 1, 214
.01, 0.5750000000000001, 1, 128.75, 100, 8.0, 10, 0.80000000000000004, 2, 4
.01, 0.8125, 1, 140.625, 100, 8.0, 10, 0.80000000000000004, 2, 9
.01, 0.93125, 1, 146.5625, 100, 8.0, 10, 0.80000000000000004, 2, 19
.01, 0.9906250000000001, 1, 149.53125, 100, 8.0, 10, 0.80000000000000004, 2, 41
.01, 1.0203125000000002, 1, 151.015625, 100, 8.0, 10, 0.80000000000000004, 2, 102
.01, 1.03515625, 1, 151.7578125, 100, 8.0, 10, 0.80000000000000004, 3, 250
.01, 1.05, 1, 152.5, 100, 9.0, 10, 0.90000000000000002, 1, 64
.01, 0.5750000000000001, 1, 128.75, 100, 9.0, 10, 0.90000000000000002, 2, 5
.01, 0.8125, 1, 140.625, 100, 9.0, 10, 0.90000000000000002, 2, 10
.01, 0.93125, 1, 146.5625, 100, 9.0, 10, 0.90000000000000002, 2, 22
.01, 0.9906250000000001, 1, 149.53125, 100, 9.0, 10, 0.90000000000000002, 2, 69
.01, 1.0203125000000002, 1, 151.015625, 100, 9.0, 10, 0.90000000000000002, 3, 250
.01, 1.05, 1, 152.5, 100, 10.0, 10, 1.0, 1, 39
.01, 0.5750000000000001, 1, 128.75, 100, 10.0, 10, 1.0, 2, 5
.01, 0.8125, 1, 140.625, 100, 10.0, 10, 1.0, 2, 10
.01, 0.93125, 1, 146.5625, 100, 10.0, 10, 1.0, 2, 28
.01, 0.9906250000000001, 1, 149.53125, 100, 10.0, 10, 1.0, 2, 201
.01, 1.0203125000000002, 1, 151.015625, 100, 10.0, 10, 1.0, 1, 94
.01, 1.0054687500000001, 1, 150.27343750000003, 100, 10.0, 10, 1.0, 3, 250
.01, 1.05, 1, 152.5, 100, 11.0, 10, 1.1000000000000001, 1, 28
.01, 0.5750000000000001, 1, 128.75, 100, 11.0, 10, 1.1000000000000001, 2, 5
.01, 0.8125, 1, 140.625, 100, 11.0, 10, 1.1000000000000001, 2, 11
.01, 0.93125, 1, 146.5625, 100, 11.0, 10, 1.1000000000000001, 2, 35
.01, 0.9906250000000001, 1, 149.53125, 100, 11.0, 10, 1.1000000000000001, 1, 249
.01, 0.9609375, 1, 148.046875, 100, 11.0, 10, 1.1000000000000001, 2, 82
.01, 0.97578125, 1, 148.7890625, 100, 11.0, 10, 1.1000000000000001, 2, 245
.01, 0.9832031250000001, 1, 149.16015625, 100, 11.0, 10, 1.1000000000000001, 3, 250
.01, 1.05, 1, 152.5, 100, 12.0, 10, 1.2, 1, 23
.01, 0.5750000000000001, 1, 128.75, 100, 12.0, 10, 1.2, 2, 5
.01, 0.8125, 1, 140.625, 100, 12.0, 10, 1.2, 2, 12
.01, 0.93125, 1, 146.5625, 100, 12.0, 10, 1.2, 2, 48
.01, 0.9906250000000001, 1, 149.53125, 100, 12.0, 10, 1.2, 1, 80
.01, 0.9609375, 1, 148.046875, 100, 12.0, 10, 1.2, 2, 245
.01, 0.97578125, 1, 148.7890625, 100, 12.0, 10, 1.2, 1, 233
.01, 0.968359375, 1, 148.41796875, 100, 12.0, 10, 1.2, 3, 250
.01, 1.05, 1, 152.5, 100, 13.0, 10, 1.3, 1, 19
.01, 0.5750000000000001, 1, 128.75, 100, 13.0, 10, 1.3, 2, 5
.01, 0.8125, 1, 140.625, 100, 13.0, 10, 1.3, 2, 12
.01, 0.93125, 1, 146.5625, 100, 13.0, 10, 1.3, 2, 74
