epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.2, 1, 160.0, 100, 5.0, 10.0, 0.5, 2, 6
.01, 1.5499999999999998, 1, 177.5, 100, 5.0, 10.0, 0.5, 1, 11
.01, 1.375, 1, 168.75, 100, 5.0, 10.0, 0.5, 1, 26
.01, 1.2875, 1, 164.375, 100, 5.0, 10.0, 0.5, 2, 11
.01, 1.33125, 1, 166.5625, 100, 5.0, 10.0, 0.5, 1, 57
.01, 1.3093750000000002, 1, 165.46875, 100, 5.0, 10.0, 0.5, 2, 16
.01, 1.3203125, 1, 166.015625, 100, 5.0, 10.0, 0.5, 2, 22
.01, 1.32578125, 1, 166.2890625, 100, 5.0, 10.0, 0.5, 2, 31
.01, 1.328515625, 1, 166.42578125, 100, 5.0, 10.0, 0.5, 1, 87
.01, 1.3271484375, 1, 166.357421875, 100, 5.0, 10.0, 0.5, 2, 37
.01, 1.32783203125, 1, 166.3916015625, 100, 5.0, 10.0, 0.5, 2, 44
.01, 1.3281738281250002, 1, 166.40869140625, 100, 5.0, 10.0, 0.5, 2, 53
.01, 1.3283447265625001, 1, 166.41723632812503, 100, 5.0, 10.0, 0.5, 2, 66
.01, 1.32843017578125, 1, 166.4215087890625, 100, 5.0, 10.0, 0.5, 1, 99
.01, 1.3283874511718752, 1, 166.41937255859375, 100, 5.0, 10.0, 0.5, 2, 80
.01, 1.3284088134765626, 1, 166.42044067382812, 100, 5.0, 10.0, 0.5, 3, 100
.01, 1.2, 1, 160.0, 100, 6.0, 10.0, 0.59999999999999998, 2, 7
.01, 1.5499999999999998, 1, 177.5, 100, 6.0, 10.0, 0.59999999999999998, 1, 9
.01, 1.375, 1, 168.75, 100, 6.0, 10.0, 0.59999999999999998, 1, 19
.01, 1.2875, 1, 164.375, 100, 6.0, 10.0, 0.59999999999999998, 2, 19
.01, 1.33125, 1, 166.5625, 100, 6.0, 10.0, 0.59999999999999998, 1, 28
.01, 1.3093750000000002, 1, 165.46875, 100, 6.0, 10.0, 0.59999999999999998, 1, 39
.01, 1.2984375000000001, 1, 164.92187500000003, 100, 6.0, 10.0, 0.59999999999999998, 1, 60
.01, 1.29296875, 1, 164.6484375, 100, 6.0, 10.0, 0.59999999999999998, 2, 25
.01, 1.2957031250000002, 1, 164.78515625, 100, 6.0, 10.0, 0.59999999999999998, 2, 33
.01, 1.2970703125000003, 1, 164.853515625, 100, 6.0, 10.0, 0.59999999999999998, 2, 50
.01, 1.29775390625, 1, 164.8876953125, 100, 6.0, 10.0, 0.59999999999999998, 1, 68
.01, 1.2974121093750002, 1, 164.87060546875, 100, 6.0, 10.0, 0.59999999999999998, 1, 78
.01, 1.2972412109375002, 1, 164.862060546875, 100, 6.0, 10.0, 0.59999999999999998, 2, 67
.01, 1.29732666015625, 1, 164.8663330078125, 100, 6.0, 10.0, 0.59999999999999998, 1, 86
.01, 1.2972839355468753, 1, 164.86419677734375, 100, 6.0, 10.0, 0.59999999999999998, 1, 96
