epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.8692570179700851, 193.46285089850426, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 3
.01, 1.7303539961576462, 186.5176998078823, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 3
.01, 1.6374425441026688, 181.87212720513344, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 3
.01, 1.5653782933950424, 178.26891466975212, 100, 4.0, 17.0, 0.23529411764705882, 13.0, 3
.01, 1.5052024871110916, 175.26012435555458, 100, 5.0, 16.0, 0.3125, 13.0, 3
.01, 1.452593818306923, 172.62969091534615, 100, 6.0, 15.0, 0.40000000000000002, 13.0, 3
.01, 1.4050969928503036, 170.25484964251518, 100, 7.0, 14.0, 0.5, 13.0, 3
.01, 1.3611544519662857, 168.05772259831429, 100, 8.0, 13.0, 0.61538461538461542, 13.0, 3
.01, 1.3196896463632584, 165.98448231816292, 100, 9.0, 12.0, 0.75, 13.0, 3
.01, 1.2798997908830643, 163.9949895441532, 100, 10.0, 11.0, 0.90909090909090906, 13.0, 3
.01, 1.2411398142576218, 162.0569907128811, 100, 11.0, 10.0, 1.1000000000000001, 13.0, 3
.01, 1.202848419547081, 160.14242097735405, 100, 12.0, 9.0, 1.3333333333333333, 13.0, 3
.01, 1.1644936352968216, 158.22468176484108, 100, 13.0, 8.0, 1.625, 13.0, 3
.01, 1.125521406531334, 156.2760703265667, 100, 14.0, 7.0, 2.0, 13.0, 3
.01, 1.0852958709001541, 154.2647935450077, 100, 15.0, 6.0, 2.5, 13.0, 3
.01, 1.0430089682340622, 152.1504484117031, 100, 16.0, 5.0, 3.2000000000000002, 13.0, 3
.01, 0.9975171834230423, 149.87585917115211, 100, 17.0, 4.0, 4.25, 13.0, 3
.01, 0.94698865711689, 147.3494328558445, 100, 18.0, 3.0, 6.0, 13.0, 3
.01, 0.8879542201757431, 144.39771100878716, 100, 19.0, 2.0, 9.5, 13.0, 3
.01, 0.8116432279348373, 140.58216139674187, 100, 20.0, 1.0, 20.0, 13.0, 3
.01, 1.8468433171510696, 192.34216585755348, 100, 1.0, 20.0, 0.050000000000000003, 14.0, 3
.01, 1.7086020857095718, 185.4301042854786, 100, 2.0, 19.0, 0.10526315789473684, 14.0, 3
.01, 1.616063192486763, 180.80315962433815, 100, 3.0, 18.0, 0.16666666666666666, 14.0, 3
.01, 1.5442786067724228, 177.21393033862114, 100, 4.0, 17.0, 0.23529411764705882, 14.0, 3
.01, 1.484347328543663, 174.21736642718315, 100, 5.0, 16.0, 0.3125, 14.0, 3
.01, 1.4319723695516586, 171.59861847758293, 100, 6.0, 15.0, 0.40000000000000002, 14.0, 3
.01, 1.3847113102674484, 169.23556551337242, 100, 7.0, 14.0, 0.5, 14.0, 3
.01, 1.3410142809152603, 167.05071404576302, 100, 8.0, 13.0, 0.61538461538461542, 14.0, 3
.01, 1.299810454249382, 164.9905227124691, 100, 9.0, 12.0, 0.75, 14.0, 3
.01, 1.2603016048669815, 163.01508024334908, 100, 10.0, 11.0, 0.90909090909090906, 14.0, 3
.01, 1.2218467742204666, 161.09233871102333, 100, 11.0, 10.0, 1.1000000000000001, 14.0, 3
.01, 1.1838896721601486, 159.19448360800743, 100, 12.0, 9.0, 1.3333333333333333, 14.0, 3
.01, 1.1459033340215683, 157.29516670107841, 100, 13.0, 8.0, 1.625, 14.0, 3
.01, 1.1073407679796219, 155.3670383989811, 100, 14.0, 7.0, 2.0, 14.0, 3
.01, 1.0675749629735947, 153.37874814867973, 100, 15.0, 6.0, 2.5, 14.0, 3
.01, 1.025810644030571, 151.29053220152855, 100, 16.0, 5.0, 3.2000000000000002, 14.0, 3
.01, 0.9809236079454422, 149.0461803972721, 100, 17.0, 4.0, 4.25, 14.0, 3
.01, 0.9311150759458542, 146.5557537972927, 100, 18.0, 3.0, 6.0, 14.0, 3
.01, 0.8729805201292038, 143.6490260064602, 100, 19.0, 2.0, 9.5, 14.0, 3
.01, 0.7979203313589096, 139.89601656794548, 100, 20.0, 1.0, 20.0, 14.0, 3
.01, 1.8262598663568497, 191.31299331784248, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 3
.01, 1.6886504739522934, 184.43252369761467, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 3
.01, 1.5964777916669846, 179.82388958334923, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 3
.01, 1.5249710828065872, 176.24855414032936, 100, 4.0, 17.0, 0.23529411764705882, 15.0, 3
.01, 1.4652828127145767, 173.26414063572884, 100, 5.0, 16.0, 0.3125, 15.0, 3
.01, 1.4131392389535904, 170.65696194767952, 100, 6.0, 15.0, 0.40000000000000002, 15.0, 3
.01, 1.3661096543073654, 168.30548271536827, 100, 7.0, 14.0, 0.5, 15.0, 3
.01, 1.3226517885923386, 166.13258942961693, 100, 8.0, 13.0, 0.61538461538461542, 15.0, 3
.01, 1.281700000166893, 164.08500000834465, 100, 9.0, 12.0, 0.75, 15.0, 3
.01, 1.2424603551626205, 162.12301775813103, 100, 10.0, 11.0, 0.90909090909090906, 15.0, 3
.01, 1.2042961865663528, 160.21480932831764, 100, 11.0, 10.0, 1.1000000000000001, 15.0, 3
.01, 1.1666551381349564, 158.33275690674782, 100, 12.0, 9.0, 1.3333333333333333, 15.0, 3
.01, 1.1290156990289688, 156.45078495144844, 100, 13.0, 8.0, 1.625, 15.0, 3
.01, 1.0908365994691849, 154.54182997345924, 100, 14.0, 7.0, 2.0, 15.0, 3
.01, 1.0514993220567703, 152.57496610283852, 100, 15.0, 6.0, 2.5, 15.0, 3
.01, 1.0102199465036392, 150.51099732518196, 100, 16.0, 5.0, 3.2000000000000002, 15.0, 3
.01, 0.9658921509981155, 148.29460754990578, 100, 17.0, 4.0, 4.25, 15.0, 3
.01, 0.9167464822530746, 145.83732411265373, 100, 18.0, 3.0, 6.0, 15.0, 3
.01, 0.8594367057085037, 142.9718352854252, 100, 19.0, 2.0, 9.5, 15.0, 3
.01, 0.7855152040719986, 139.27576020359993, 100, 20.0, 1.0, 20.0, 15.0, 3
.01, 1.810877576470375, 190.54387882351875, 100, 1.0, 20.0, 0.050000000000000003, 16.0, 3
.01, 1.6737333685159683, 183.68666842579842, 100, 2.0, 19.0, 0.10526315789473684, 16.0, 3
.01, 1.5818311423063278, 179.0915571153164, 100, 3.0, 18.0, 0.16666666666666666, 16.0, 3
.01, 1.5105327516794205, 175.52663758397102, 100, 4.0, 17.0, 0.23529411764705882, 16.0, 3
.01, 1.4510285705327988, 172.55142852663994, 100, 5.0, 16.0, 0.3125, 16.0, 3
.01, 1.3990611284971237, 169.9530564248562, 100, 6.0, 15.0, 0.40000000000000002, 16.0, 3
.01, 1.3522083014249802, 167.610415071249, 100, 7.0, 14.0, 0.5, 16.0, 3
.01, 1.3089330047369003, 165.44665023684502, 100, 8.0, 13.0, 0.61538461538461542, 16.0, 3
.01, 1.2681734412908554, 163.40867206454277, 100, 9.0, 12.0, 0.75, 16.0, 3
.01, 1.229138806462288, 161.4569403231144, 100, 10.0, 11.0, 0.90909090909090906, 16.0, 3
.01, 1.1911953836679459, 159.5597691833973, 100, 11.0, 10.0, 1.1000000000000001, 16.0, 3
.01, 1.1537941247224808, 157.68970623612404, 100, 12.0, 9.0, 1.3333333333333333, 16.0, 3
.01, 1.1164169162511826, 155.82084581255913, 100, 13.0, 8.0, 1.625, 16.0, 3
.01, 1.0785273164510727, 153.92636582255363, 100, 14.0, 7.0, 2.0, 16.0, 3
.01, 1.0395124405622482, 151.9756220281124, 100, 15.0, 6.0, 2.5, 16.0, 3
.01, 0.9985972195863724, 149.92986097931862, 100, 16.0, 5.0, 3.2000000000000002, 16.0, 3
.01, 0.9546879380941391, 147.73439690470695, 100, 17.0, 4.0, 4.25, 16.0, 3
.01, 0.9060367792844772, 145.30183896422386, 100, 18.0, 3.0, 6.0, 16.0, 3
