epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.71875, 185.9375, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.765625, 188.28125, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.7890625, 189.453125, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.80078125, 190.0390625, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.794921875, 189.74609375, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.7978515625, 189.892578125, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.79638671875, 189.8193359375, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.795654296875, 189.78271484375, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.7960205078125, 189.801025390625, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.79583740234375, 189.7918701171875, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.795745849609375, 189.78729248046875, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7957000732421875, 189.78500366210938, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7956771850585938, 189.7838592529297, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7956657409667969, 189.78328704833984, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.7956714630126953, 189.78357315063477, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.795668601989746, 189.7834300994873, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7956671714782715, 189.78335857391357, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.7956678867340088, 189.78339433670044, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7956675291061401, 189.783376455307, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7956673502922058, 189.7833675146103, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 1
.01, 1.7956672608852386, 189.78336304426193, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 2
.01, 1.7956673055887222, 189.7833652794361, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 3
.01, 1.25, 162.5, 100, 2.0, 19.0, 0.10526315789473684, 17.0, 2
