epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.05, 1, 10, 10, 5.0, 10, 0.5, 2, 61
.01, 1.425, 1, 10, 10, 5.0, 10, 0.5, 1, 18
.01, 1.2375, 1, 10, 10, 5.0, 10, 0.5, 1, 47
.01, 1.14375, 1, 10, 10, 5.0, 10, 0.5, 3, 250
.01, 1.05, 1, 10, 10, 5.5263157894736841, 10, 0.55263157894736836, 2, 78
.01, 1.425, 1, 10, 10, 5.5263157894736841, 10, 0.55263157894736836, 1, 17
.01, 1.2375, 1, 10, 10, 5.5263157894736841, 10, 0.55263157894736836, 1, 39
.01, 1.14375, 1, 10, 10, 5.5263157894736841, 10, 0.55263157894736836, 1, 141
.01, 1.096875, 1, 10, 10, 5.5263157894736841, 10, 0.55263157894736836, 3, 250
.01, 1.05, 1, 10, 10, 6.0526315789473681, 10, 0.60526315789473684, 2, 106
.01, 1.425, 1, 10, 10, 6.0526315789473681, 10, 0.60526315789473684, 1, 15
.01, 1.2375, 1, 10, 10, 6.0526315789473681, 10, 0.60526315789473684, 1, 33
.01, 1.14375, 1, 10, 10, 6.0526315789473681, 10, 0.60526315789473684, 1, 91
.01, 1.096875, 1, 10, 10, 6.0526315789473681, 10, 0.60526315789473684, 3, 250
.01, 1.05, 1, 10, 10, 6.5789473684210531, 10, 0.65789473684210531, 2, 164
.01, 1.425, 1, 10, 10, 6.5789473684210531, 10, 0.65789473684210531, 1, 14
.01, 1.2375, 1, 10, 10, 6.5789473684210531, 10, 0.65789473684210531, 1, 29
.01, 1.14375, 1, 10, 10, 6.5789473684210531, 10, 0.65789473684210531, 1, 68
.01, 1.096875, 1, 10, 10, 6.5789473684210531, 10, 0.65789473684210531, 1, 221
.01, 1.0734375, 1, 10, 10, 6.5789473684210531, 10, 0.65789473684210531, 3, 250
.01, 1.05, 1, 10, 10, 7.1052631578947363, 10, 0.71052631578947367, 3, 250
.01, 1.05, 1, 10, 10, 7.6315789473684212, 10, 0.76315789473684215, 3, 250
.01, 1.05, 1, 10, 10, 8.1578947368421062, 10, 0.81578947368421062, 3, 250
.01, 1.05, 1, 10, 10, 8.6842105263157894, 10, 0.86842105263157898, 1, 164
.01, 0.675, 1, 10, 10, 8.6842105263157894, 10, 0.86842105263157898, 2, 11
.01, 0.8625, 1, 10, 10, 8.6842105263157894, 10, 0.86842105263157898, 2, 24
.01, 0.95625, 1, 10, 10, 8.6842105263157894, 10, 0.86842105263157898, 2, 57
.01, 1.003125, 1, 10, 10, 8.6842105263157894, 10, 0.86842105263157898, 2, 178
.01, 1.0265625, 1, 10, 10, 8.6842105263157894, 10, 0.86842105263157898, 3, 250
.01, 1.05, 1, 10, 10, 9.2105263157894726, 10, 0.92105263157894723, 1, 113
.01, 0.675, 1, 10, 10, 9.2105263157894726, 10, 0.92105263157894723, 2, 11
.01, 0.8625, 1, 10, 10, 9.2105263157894726, 10, 0.92105263157894723, 2, 25
.01, 0.95625, 1, 10, 10, 9.2105263157894726, 10, 0.92105263157894723, 2, 66
.01, 1.003125, 1, 10, 10, 9.2105263157894726, 10, 0.92105263157894723, 3, 250
.01, 1.05, 1, 10, 10, 9.7368421052631575, 10, 0.97368421052631571, 1, 87
.01, 0.675, 1, 10, 10, 9.7368421052631575, 10, 0.97368421052631571, 2, 11
.01, 0.8625, 1, 10, 10, 9.7368421052631575, 10, 0.97368421052631571, 2, 26
.01, 0.95625, 1, 10, 10, 9.7368421052631575, 10, 0.97368421052631571, 2, 78
.01, 1.003125, 1, 10, 10, 9.7368421052631575, 10, 0.97368421052631571, 3, 250
.01, 1.05, 1, 10, 10, 10.263157894736842, 10, 1.0263157894736843, 1, 71
.01, 0.675, 1, 10, 10, 10.263157894736842, 10, 1.0263157894736843, 2, 11
.01, 0.8625, 1, 10, 10, 10.263157894736842, 10, 1.0263157894736843, 2, 28
.01, 0.95625, 1, 10, 10, 10.263157894736842, 10, 1.0263157894736843, 2, 95
.01, 1.003125, 1, 10, 10, 10.263157894736842, 10, 1.0263157894736843, 3, 250
.01, 1.05, 1, 10, 10, 10.789473684210526, 10, 1.0789473684210527, 1, 60
.01, 0.675, 1, 10, 10, 10.789473684210526, 10, 1.0789473684210527, 2, 11
.01, 0.8625, 1, 10, 10, 10.789473684210526, 10, 1.0789473684210527, 2, 29
.01, 0.95625, 1, 10, 10, 10.789473684210526, 10, 1.0789473684210527, 2, 120
.01, 1.003125, 1, 10, 10, 10.789473684210526, 10, 1.0789473684210527, 1, 226
.01, 0.9796875, 1, 10, 10, 10.789473684210526, 10, 1.0789473684210527, 3, 250
.01, 1.05, 1, 10, 10, 11.315789473684211, 10, 1.131578947368421, 1, 52
.01, 0.675, 1, 10, 10, 11.315789473684211, 10, 1.131578947368421, 2, 12
.01, 0.8625, 1, 10, 10, 11.315789473684211, 10, 1.131578947368421, 2, 31
.01, 0.95625, 1, 10, 10, 11.315789473684211, 10, 1.131578947368421, 2, 162
.01, 1.003125, 1, 10, 10, 11.315789473684211, 10, 1.131578947368421, 1, 148
.01, 0.9796875, 1, 10, 10, 11.315789473684211, 10, 1.131578947368421, 3, 250
.01, 1.05, 1, 10, 10, 11.842105263157894, 10, 1.1842105263157894, 1, 46
.01, 0.675, 1, 10, 10, 11.842105263157894, 10, 1.1842105263157894, 2, 12
.01, 0.8625, 1, 10, 10, 11.842105263157894, 10, 1.1842105263157894, 2, 32
.01, 0.95625, 1, 10, 10, 11.842105263157894, 10, 1.1842105263157894, 2, 248
.01, 1.003125, 1, 10, 10, 11.842105263157894, 10, 1.1842105263157894, 1, 111
.01, 0.9796875, 1, 10, 10, 11.842105263157894, 10, 1.1842105263157894, 3, 250
.01, 1.05, 1, 10, 10, 12.368421052631579, 10, 1.236842105263158, 1, 42
.01, 0.675, 1, 10, 10, 12.368421052631579, 10, 1.236842105263158, 2, 12
.01, 0.8625, 1, 10, 10, 12.368421052631579, 10, 1.236842105263158, 2, 34
.01, 0.95625, 1, 10, 10, 12.368421052631579, 10, 1.236842105263158, 3, 250
.01, 1.05, 1, 10, 10, 12.894736842105264, 10, 1.2894736842105263, 1, 38
.01, 0.675, 1, 10, 10, 12.894736842105264, 10, 1.2894736842105263, 2, 12
.01, 0.8625, 1, 10, 10, 12.894736842105264, 10, 1.2894736842105263, 2, 36
.01, 0.95625, 1, 10, 10, 12.894736842105264, 10, 1.2894736842105263, 3, 250
.01, 1.05, 1, 10, 10, 13.421052631578947, 10, 1.3421052631578947, 1, 35
.01, 0.675, 1, 10, 10, 13.421052631578947, 10, 1.3421052631578947, 2, 12
.01, 0.8625, 1, 10, 10, 13.421052631578947, 10, 1.3421052631578947, 2, 39
.01, 0.95625, 1, 10, 10, 13.421052631578947, 10, 1.3421052631578947, 3, 250
.01, 1.05, 1, 10, 10, 13.947368421052632, 10, 1.3947368421052633, 1, 33
.01, 0.675, 1, 10, 10, 13.947368421052632, 10, 1.3947368421052633, 2, 12
.01, 0.8625, 1, 10, 10, 13.947368421052632, 10, 1.3947368421052633, 2, 41
.01, 0.95625, 1, 10, 10, 13.947368421052632, 10, 1.3947368421052633, 1, 250
.01, 0.909375, 1, 10, 10, 13.947368421052632, 10, 1.3947368421052633, 2, 100
.01, 0.9328125, 1, 10, 10, 13.947368421052632, 10, 1.3947368421052633, 3, 250
