epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner,final_pop1,final_pop2, time
.01, 1.05, 1, 80, 80, 5.0, 10, 0.5, 152.49999999999901, 149.99999999999955, 2, 30
.01, 1.425, 1, 80, 80, 5.0, 10, 0.5, 171.24999999999898, 149.99999999999955, 1, 10
.01, 1.2375, 1, 80, 80, 5.0, 10, 0.5, 161.87499999999898, 149.99999999999955, 1, 24
.01, 1.14375, 1, 80, 80, 5.0, 10, 0.5, 157.18749999999901, 149.99999999999955, 1, 169
.01, 1.096875, 1, 80, 80, 5.0, 10, 0.5, 154.84374999999901, 149.99999999999955, 2, 74
.01, 1.1203125, 1, 80, 80, 5.0, 10, 0.5, 156.01562499999901, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 5.5263157894736841, 10, 0.55263157894736836, 152.49999999999955, 149.99999999999955, 2, 38
.01, 1.425, 1, 80, 80, 5.5263157894736841, 10, 0.55263157894736836, 171.24999999999966, 149.99999999999955, 1, 9
.01, 1.2375, 1, 80, 80, 5.5263157894736841, 10, 0.55263157894736836, 161.87499999999957, 149.99999999999955, 1, 20
.01, 1.14375, 1, 80, 80, 5.5263157894736841, 10, 0.55263157894736836, 157.1874999999996, 149.99999999999955, 1, 72
.01, 1.096875, 1, 80, 80, 5.5263157894736841, 10, 0.55263157894736836, 154.84374999999955, 149.99999999999955, 2, 180
.01, 1.1203125, 1, 80, 80, 5.5263157894736841, 10, 0.55263157894736836, 156.01562499999969, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 6.0526315789473681, 10, 0.60526315789473684, 152.49999999999955, 149.99999999999955, 2, 53
.01, 1.425, 1, 80, 80, 6.0526315789473681, 10, 0.60526315789473684, 171.2499999999996, 149.99999999999955, 1, 8
.01, 1.2375, 1, 80, 80, 6.0526315789473681, 10, 0.60526315789473684, 161.87499999999966, 149.99999999999955, 1, 17
.01, 1.14375, 1, 80, 80, 6.0526315789473681, 10, 0.60526315789473684, 157.18749999999957, 149.99999999999955, 1, 46
.01, 1.096875, 1, 80, 80, 6.0526315789473681, 10, 0.60526315789473684, 154.84374999999963, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 6.5789473684210531, 10, 0.65789473684210531, 152.49999999999955, 149.99999999999955, 2, 81
.01, 1.425, 1, 80, 80, 6.5789473684210531, 10, 0.65789473684210531, 171.24999999999966, 149.99999999999955, 1, 7
.01, 1.2375, 1, 80, 80, 6.5789473684210531, 10, 0.65789473684210531, 161.87499999999957, 149.99999999999955, 1, 15
.01, 1.14375, 1, 80, 80, 6.5789473684210531, 10, 0.65789473684210531, 157.18749999999957, 149.99999999999955, 1, 35
.01, 1.096875, 1, 80, 80, 6.5789473684210531, 10, 0.65789473684210531, 154.84374999999955, 149.99999999999955, 1, 112
.01, 1.0734375, 1, 80, 80, 6.5789473684210531, 10, 0.65789473684210531, 153.67187499999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 152.49999999999955, 149.99999999999955, 2, 172
.01, 1.425, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 171.2499999999996, 149.99999999999955, 1, 7
.01, 1.2375, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 161.87499999999957, 149.99999999999955, 1, 14
.01, 1.14375, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 157.18749999999957, 149.99999999999955, 1, 28
.01, 1.096875, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 154.84374999999955, 149.99999999999955, 1, 64
.01, 1.0734375, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 153.67187499999955, 149.99999999999955, 1, 196
.01, 1.06171875, 1, 80, 80, 7.1052631578947363, 10, 0.71052631578947367, 153.08593749999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 7.6315789473684212, 10, 0.76315789473684215, 152.49999999999875, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 152.49999999999881, 149.99999999999955, 1, 158
.01, 0.675, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 143.12499999999866, 149.99999999999955, 2, 12
.01, 0.95625, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 147.81249999999875, 149.99999999999955, 2, 25
.01, 1.003125, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 150.15624999999878, 149.99999999999955, 2, 60
.01, 1.0265625, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 151.32812499999881, 149.99999999999955, 2, 197
.01, 1.03828125, 1, 80, 80, 8.1578947368421062, 10, 0.81578947368421062, 151.91406249999864, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 8.6842105263157894, 10, 0.86842105263157898, 152.49999999999861, 149.99999999999955, 1, 83
.01, 0.675, 1, 80, 80, 8.6842105263157894, 10, 0.86842105263157898, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 8.6842105263157894, 10, 0.86842105263157898, 143.12499999999852, 149.99999999999955, 2, 12
.01, 0.95625, 1, 80, 80, 8.6842105263157894, 10, 0.86842105263157898, 147.81249999999869, 149.99999999999955, 2, 28
.01, 1.003125, 1, 80, 80, 8.6842105263157894, 10, 0.86842105263157898, 150.15624999999861, 149.99999999999955, 2, 88
.01, 1.0265625, 1, 80, 80, 8.6842105263157894, 10, 0.86842105263157898, 151.32812499999861, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 152.49999999999955, 149.99999999999955, 1, 57
.01, 0.675, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 143.12499999999952, 149.99999999999955, 2, 13
.01, 0.95625, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 147.81249999999955, 149.99999999999955, 2, 33
.01, 1.003125, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 150.1562499999996, 149.99999999999955, 2, 165
.01, 1.0265625, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 151.32812499999955, 149.99999999999955, 1, 169
.01, 1.01484375, 1, 80, 80, 9.2105263157894726, 10, 0.92105263157894723, 150.74218749999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 9.7368421052631575, 10, 0.97368421052631571, 152.49999999999955, 149.99999999999955, 1, 44
.01, 0.675, 1, 80, 80, 9.7368421052631575, 10, 0.97368421052631571, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 9.7368421052631575, 10, 0.97368421052631571, 143.12499999999952, 149.99999999999955, 2, 13
.01, 0.95625, 1, 80, 80, 9.7368421052631575, 10, 0.97368421052631571, 147.81249999999955, 149.99999999999955, 2, 39
.01, 1.003125, 1, 80, 80, 9.7368421052631575, 10, 0.97368421052631571, 150.15624999999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 10.263157894736842, 10, 1.0263157894736843, 152.49999999999955, 149.99999999999955, 1, 36
.01, 0.675, 1, 80, 80, 10.263157894736842, 10, 1.0263157894736843, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 10.263157894736842, 10, 1.0263157894736843, 143.12499999999952, 149.99999999999955, 2, 14
.01, 0.95625, 1, 80, 80, 10.263157894736842, 10, 1.0263157894736843, 147.81249999999957, 149.99999999999955, 2, 47
.01, 1.003125, 1, 80, 80, 10.263157894736842, 10, 1.0263157894736843, 150.15624999999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 10.789473684210526, 10, 1.0789473684210527, 152.49999999999955, 149.99999999999955, 1, 30
.01, 0.675, 1, 80, 80, 10.789473684210526, 10, 1.0789473684210527, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 10.789473684210526, 10, 1.0789473684210527, 143.12499999999952, 149.99999999999955, 2, 15
.01, 0.95625, 1, 80, 80, 10.789473684210526, 10, 1.0789473684210527, 147.81249999999955, 149.99999999999955, 2, 60
.01, 1.003125, 1, 80, 80, 10.789473684210526, 10, 1.0789473684210527, 150.15624999999955, 149.99999999999955, 1, 114
.01, 0.9796875, 1, 80, 80, 10.789473684210526, 10, 1.0789473684210527, 148.98437499999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 11.315789473684211, 10, 1.131578947368421, 152.49999999999898, 149.99999999999955, 1, 27
.01, 0.675, 1, 80, 80, 11.315789473684211, 10, 1.131578947368421, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 11.315789473684211, 10, 1.131578947368421, 143.12499999999952, 149.99999999999955, 2, 16
.01, 0.95625, 1, 80, 80, 11.315789473684211, 10, 1.131578947368421, 147.81249999999864, 149.99999999999955, 2, 81
.01, 1.003125, 1, 80, 80, 11.315789473684211, 10, 1.131578947368421, 150.15624999999918, 149.99999999999955, 1, 75
.01, 0.9796875, 1, 80, 80, 11.315789473684211, 10, 1.131578947368421, 148.98437499999915, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 152.49999999999878, 149.99999999999955, 1, 24
.01, 0.675, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 143.12499999999952, 149.99999999999955, 2, 16
.01, 0.95625, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 147.81249999999861, 149.99999999999955, 2, 123
.01, 1.003125, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 150.15624999999861, 149.99999999999955, 1, 56
.01, 0.9796875, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 148.98437499999858, 149.99999999999955, 1, 197
.01, 0.96796875, 1, 80, 80, 11.842105263157894, 10, 1.1842105263157894, 148.39843749999872, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 12.368421052631579, 10, 1.236842105263158, 152.49999999999861, 149.99999999999955, 1, 21
.01, 0.675, 1, 80, 80, 12.368421052631579, 10, 1.236842105263158, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 12.368421052631579, 10, 1.236842105263158, 143.12499999999858, 149.99999999999955, 2, 17
.01, 0.95625, 1, 80, 80, 12.368421052631579, 10, 1.236842105263158, 147.81249999999858, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 12.894736842105264, 10, 1.2894736842105263, 152.49999999999864, 149.99999999999955, 1, 19
.01, 0.675, 1, 80, 80, 12.894736842105264, 10, 1.2894736842105263, 133.74999999999901, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 12.894736842105264, 10, 1.2894736842105263, 143.12499999999923, 149.99999999999955, 2, 18
.01, 0.95625, 1, 80, 80, 12.894736842105264, 10, 1.2894736842105263, 147.81249999999858, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 13.421052631578947, 10, 1.3421052631578947, 152.49999999999955, 149.99999999999955, 1, 18
.01, 0.675, 1, 80, 80, 13.421052631578947, 10, 1.3421052631578947, 133.74999999999949, 149.99999999999955, 2, 6
