epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner,final_pop1,final_pop2, time
.01, 1.05, 1, 152.5, 100, 5.0, 10, 0.5, 152.5, 149.99999999999955, 2, 31
.01, 1.425, 1, 171.25, 100, 5.0, 10, 0.5, 171.25, 149.99999999999955, 1, 9
.01, 1.2375, 1, 161.875, 100, 5.0, 10, 0.5, 161.875, 149.99999999999955, 1, 24
.01, 1.14375, 1, 157.1875, 100, 5.0, 10, 0.5, 157.1875, 149.99999999999955, 1, 167
.01, 1.096875, 1, 154.84375, 100, 5.0, 10, 0.5, 154.84375, 149.99999999999955, 2, 75
.01, 1.1203125, 1, 156.015625, 100, 5.0, 10, 0.5, 156.015625, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 5.3448275862068968, 10, 0.53448275862068972, 152.49999999999969, 149.99999999999955, 2, 36
.01, 1.425, 1, 171.25, 100, 5.3448275862068968, 10, 0.53448275862068972, 171.24999999999994, 149.99999999999955, 1, 9
.01, 1.2375, 1, 161.875, 100, 5.3448275862068968, 10, 0.53448275862068972, 161.875, 149.99999999999955, 1, 21
.01, 1.14375, 1, 157.1875, 100, 5.3448275862068968, 10, 0.53448275862068972, 157.18749999999989, 149.99999999999955, 1, 88
.01, 1.096875, 1, 154.84375, 100, 5.3448275862068968, 10, 0.53448275862068972, 154.84375, 149.99999999999955, 2, 123
.01, 1.1203125, 1, 156.015625, 100, 5.3448275862068968, 10, 0.53448275862068972, 156.01562499999969, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 5.6896551724137936, 10, 0.56896551724137934, 152.49999999999977, 149.99999999999955, 2, 43
.01, 1.425, 1, 171.25, 100, 5.6896551724137936, 10, 0.56896551724137934, 171.24999999999977, 149.99999999999955, 1, 8
.01, 1.2375, 1, 161.875, 100, 5.6896551724137936, 10, 0.56896551724137934, 161.875, 149.99999999999955, 1, 19
.01, 1.14375, 1, 157.1875, 100, 5.6896551724137936, 10, 0.56896551724137934, 157.1875, 149.99999999999955, 1, 60
.01, 1.096875, 1, 154.84375, 100, 5.6896551724137936, 10, 0.56896551724137934, 154.84374999999997, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 6.0344827586206895, 10, 0.60344827586206895, 152.5, 149.99999999999955, 2, 53
.01, 1.425, 1, 171.25, 100, 6.0344827586206895, 10, 0.60344827586206895, 171.25, 149.99999999999955, 1, 8
.01, 1.2375, 1, 161.875, 100, 6.0344827586206895, 10, 0.60344827586206895, 161.875, 149.99999999999955, 1, 17
.01, 1.14375, 1, 157.1875, 100, 6.0344827586206895, 10, 0.60344827586206895, 157.1875, 149.99999999999955, 1, 46
.01, 1.096875, 1, 154.84375, 100, 6.0344827586206895, 10, 0.60344827586206895, 154.84375, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 6.3793103448275863, 10, 0.63793103448275867, 152.5, 149.99999999999955, 2, 68
.01, 1.425, 1, 171.25, 100, 6.3793103448275863, 10, 0.63793103448275867, 171.25, 149.99999999999955, 1, 8
.01, 1.2375, 1, 161.875, 100, 6.3793103448275863, 10, 0.63793103448275867, 161.875, 149.99999999999955, 1, 16
.01, 1.14375, 1, 157.1875, 100, 6.3793103448275863, 10, 0.63793103448275867, 157.18750000000003, 149.99999999999955, 1, 38
.01, 1.096875, 1, 154.84375, 100, 6.3793103448275863, 10, 0.63793103448275867, 154.84375, 149.99999999999955, 1, 157
.01, 1.0734375, 1, 153.671875, 100, 6.3793103448275863, 10, 0.63793103448275867, 153.671875, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 6.7241379310344831, 10, 0.67241379310344829, 152.5, 149.99999999999955, 2, 96
.01, 1.425, 1, 171.25, 100, 6.7241379310344831, 10, 0.67241379310344829, 171.25, 149.99999999999955, 1, 7
.01, 1.2375, 1, 161.875, 100, 6.7241379310344831, 10, 0.67241379310344829, 161.875, 149.99999999999955, 1, 14
.01, 1.14375, 1, 157.1875, 100, 6.7241379310344831, 10, 0.67241379310344829, 157.1875, 149.99999999999955, 1, 32
.01, 1.096875, 1, 154.84375, 100, 6.7241379310344831, 10, 0.67241379310344829, 154.84375000000009, 149.99999999999955, 1, 92
.01, 1.0734375, 1, 153.671875, 100, 6.7241379310344831, 10, 0.67241379310344829, 153.671875, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 7.068965517241379, 10, 0.7068965517241379, 152.5, 149.99999999999955, 2, 162
.01, 1.425, 1, 171.25, 100, 7.068965517241379, 10, 0.7068965517241379, 171.25, 149.99999999999955, 1, 7
.01, 1.2375, 1, 161.875, 100, 7.068965517241379, 10, 0.7068965517241379, 161.875, 149.99999999999955, 1, 13
.01, 1.14375, 1, 157.1875, 100, 7.068965517241379, 10, 0.7068965517241379, 157.1875, 149.99999999999955, 1, 28
.01, 1.096875, 1, 154.84375, 100, 7.068965517241379, 10, 0.7068965517241379, 154.84375000000003, 149.99999999999955, 1, 65
.01, 1.0734375, 1, 153.671875, 100, 7.068965517241379, 10, 0.7068965517241379, 153.671875, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 7.4137931034482758, 10, 0.74137931034482762, 152.50000000000003, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 7.7586206896551726, 10, 0.77586206896551724, 152.5, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 8.1034482758620694, 10, 0.81034482758620696, 152.5, 149.99999999999955, 1, 171
.01, 0.675, 1, 133.75, 100, 8.1034482758620694, 10, 0.81034482758620696, 133.75, 149.99999999999955, 2, 6
.01, 0.8625, 1, 143.125, 100, 8.1034482758620694, 10, 0.81034482758620696, 143.125, 149.99999999999955, 2, 12
.01, 0.95625, 1, 147.8125, 100, 8.1034482758620694, 10, 0.81034482758620696, 147.8125, 149.99999999999955, 2, 25
.01, 1.003125, 1, 150.15625, 100, 8.1034482758620694, 10, 0.81034482758620696, 150.15625, 149.99999999999955, 2, 58
.01, 1.0265625, 1, 151.328125, 100, 8.1034482758620694, 10, 0.81034482758620696, 151.328125, 149.99999999999955, 2, 179
.01, 1.03828125, 1, 151.9140625, 100, 8.1034482758620694, 10, 0.81034482758620696, 151.9140625, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 8.4482758620689662, 10, 0.84482758620689657, 152.5, 149.99999999999955, 1, 104
.01, 0.675, 1, 133.75, 100, 8.4482758620689662, 10, 0.84482758620689657, 133.75, 149.99999999999955, 2, 6
.01, 0.8625, 1, 143.125, 100, 8.4482758620689662, 10, 0.84482758620689657, 143.125, 149.99999999999955, 2, 12
.01, 0.95625, 1, 147.8125, 100, 8.4482758620689662, 10, 0.84482758620689657, 147.8125, 149.99999999999955, 2, 27
.01, 1.003125, 1, 150.15625, 100, 8.4482758620689662, 10, 0.84482758620689657, 150.15625, 149.99999999999955, 2, 74
.01, 1.0265625, 1, 151.328125, 100, 8.4482758620689662, 10, 0.84482758620689657, 151.328125, 149.99999999999955, 3, 200
.01, 1.05, 1, 152.5, 100, 8.7931034482758612, 10, 0.87931034482758608, 152.5, 149.99999999999955, 1, 75
.01, 0.675, 1, 133.75, 100, 8.7931034482758612, 10, 0.87931034482758608, 133.75, 149.99999999999955, 2, 6
