epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, winner, time
.01, 1.1000000000000001, 1, 90, 100, 4.5, 5, 2, 15
.01, 1.1000000000000001, 1, 90, 100, 4.7000000000000002, 5, 2, 12
.01, 1.1000000000000001, 1, 90, 100, 4.9000000000000004, 5, 2, 10
.01, 1.1000000000000001, 1, 90, 100, 5.0999999999999996, 5, 2, 9
.01, 1.1000000000000001, 1, 90, 100, 5.2999999999999998, 5, 2, 8
.01, 1.125, 1, 90, 100, 4.5, 5, 2, 26
.01, 1.125, 1, 90, 100, 4.7000000000000002, 5, 2, 15
.01, 1.125, 1, 90, 100, 4.9000000000000004, 5, 2, 12
.01, 1.125, 1, 90, 100, 5.0999999999999996, 5, 2, 10
.01, 1.125, 1, 90, 100, 5.2999999999999998, 5, 2, 9
.01, 1.1499999999999999, 1, 90, 100, 4.5, 5, 1, 137
.01, 1.1499999999999999, 1, 90, 100, 4.7000000000000002, 5, 2, 25
.01, 1.1499999999999999, 1, 90, 100, 4.9000000000000004, 5, 2, 15
.01, 1.1499999999999999, 1, 90, 100, 5.0999999999999996, 5, 2, 12
.01, 1.1499999999999999, 1, 90, 100, 5.2999999999999998, 5, 2, 10
.01, 1.175, 1, 90, 100, 4.5, 5, 1, 113
.01, 1.175, 1, 90, 100, 4.7000000000000002, 5, 1, 136
.01, 1.175, 1, 90, 100, 4.9000000000000004, 5, 2, 25
.01, 1.175, 1, 90, 100, 5.0999999999999996, 5, 2, 16
.01, 1.175, 1, 90, 100, 5.2999999999999998, 5, 2, 12
.01, 1.2, 1, 90, 100, 4.5, 5, 1, 98
.01, 1.2, 1, 90, 100, 4.7000000000000002, 5, 1, 111
.01, 1.2, 1, 90, 100, 4.9000000000000004, 5, 1, 134
.01, 1.2, 1, 90, 100, 5.0999999999999996, 5, 2, 25
.01, 1.2, 1, 90, 100, 5.2999999999999998, 5, 2, 16
