epsilon, alpha, pop, dif1, dif2, difratio, winner, time
.01, 2.15, 50, 6.0, 10, 0.59999999999999998, 1, 3
.01, 1.2249999999999999, 50, 6.0, 10, 0.59999999999999998, 1, 8
.01, 0.29999999999999999, 50, 6.0, 10, 0.59999999999999998, 2, 3
.01, 0.53125, 50, 6.0, 10, 0.59999999999999998, 2, 6
.01, 0.76249999999999996, 50, 6.0, 10, 0.59999999999999998, 3, 225
.01, 0.99374999999999991, 50, 6.0, 10, 0.59999999999999998, 1, 14
.01, 1.2249999999999999, 50, 6.0, 10, 0.59999999999999998, 1, 8
.01, 0.7625, 50, 6.0, 10, 0.59999999999999998, 1, 201
.01, 2.15, 50, 6.8888888888888893, 10, 0.68888888888888888, 1, 3
.01, 1.2249999999999999, 50, 6.8888888888888893, 10, 0.68888888888888888, 1, 8
.01, 0.7625, 50, 6.8888888888888893, 10, 0.68888888888888888, 2, 26
.01, 0.9937499999999999, 50, 6.8888888888888893, 10, 0.68888888888888888, 1, 18
.01, 0.8781249999999999, 50, 6.8888888888888893, 10, 0.68888888888888888, 1, 49
.01, 0.8203125, 50, 6.8888888888888893, 10, 0.68888888888888888, 3, 200
.01, 2.15, 50, 7.7777777777777777, 10, 0.77777777777777779, 1, 3
.01, 1.2249999999999999, 50, 7.7777777777777777, 10, 0.77777777777777779, 1, 9
.01, 0.7625, 50, 7.7777777777777777, 10, 0.77777777777777779, 2, 15
.01, 0.9937499999999999, 50, 7.7777777777777777, 10, 0.77777777777777779, 1, 24
.01, 0.76249999999999996, 50, 7.7777777777777777, 10, 0.77777777777777779, 2, 15
.01, 0.8203125, 50, 7.7777777777777777, 10, 0.77777777777777779, 2, 32
.01, 0.87812499999999993, 50, 7.7777777777777777, 10, 0.77777777777777779, 3, 225
.01, 0.93593749999999987, 50, 7.7777777777777777, 10, 0.77777777777777779, 1, 44
.01, 0.99374999999999991, 50, 7.7777777777777777, 10, 0.77777777777777779, 1, 24
.01, 0.8781249999999999, 50, 7.7777777777777777, 10, 0.77777777777777779, 1, 201
.01, 2.15, 50, 8.6666666666666661, 10, 0.86666666666666659, 1, 3
.01, 1.2249999999999999, 50, 8.6666666666666661, 10, 0.86666666666666659, 1, 10
.01, 0.7625, 50, 8.6666666666666661, 10, 0.86666666666666659, 2, 12
.01, 0.9937499999999999, 50, 8.6666666666666661, 10, 0.86666666666666659, 1, 38
.01, 0.8781249999999999, 50, 8.6666666666666661, 10, 0.86666666666666659, 2, 40
.01, 0.9359374999999999, 50, 8.6666666666666661, 10, 0.86666666666666659, 1, 194
.01, 0.90703125, 50, 8.6666666666666661, 10, 0.86666666666666659, 2, 111
.01, 0.9214843749999999, 50, 8.6666666666666661, 10, 0.86666666666666659, 3, 200
.01, 2.15, 50, 9.5555555555555554, 10, 0.95555555555555549, 1, 3
.01, 1.2249999999999999, 50, 9.5555555555555554, 10, 0.95555555555555549, 1, 11
.01, 0.7625, 50, 9.5555555555555554, 10, 0.95555555555555549, 2, 10
.01, 0.9937499999999999, 50, 9.5555555555555554, 10, 0.95555555555555549, 1, 128
.01, 0.8781249999999999, 50, 9.5555555555555554, 10, 0.95555555555555549, 2, 22
.01, 0.9359374999999999, 50, 9.5555555555555554, 10, 0.95555555555555549, 2, 53
.01, 0.9648437499999999, 50, 9.5555555555555554, 10, 0.95555555555555549, 3, 200
.01, 2.15, 50, 10.444444444444445, 10, 1.0444444444444445, 1, 3
.01, 1.2249999999999999, 50, 10.444444444444445, 10, 1.0444444444444445, 1, 12
.01, 0.7625, 50, 10.444444444444445, 10, 1.0444444444444445, 2, 9
.01, 0.9937499999999999, 50, 10.444444444444445, 10, 1.0444444444444445, 2, 76
.01, 1.109375, 50, 10.444444444444445, 10, 1.0444444444444445, 1, 27
.01, 1.0515625, 50, 10.444444444444445, 10, 1.0444444444444445, 1, 82
.01, 1.0226562499999998, 50, 10.444444444444445, 10, 1.0444444444444445, 3, 200
.01, 2.15, 50, 11.333333333333332, 10, 1.1333333333333333, 1, 3
.01, 1.2249999999999999, 50, 11.333333333333332, 10, 1.1333333333333333, 1, 15
.01, 0.7625, 50, 11.333333333333332, 10, 1.1333333333333333, 2, 8
.01, 0.9937499999999999, 50, 11.333333333333332, 10, 1.1333333333333333, 2, 33
.01, 1.109375, 50, 11.333333333333332, 10, 1.1333333333333333, 1, 55
.01, 1.0515625, 50, 11.333333333333332, 10, 1.1333333333333333, 2, 123
.01, 1.08046875, 50, 11.333333333333332, 10, 1.1333333333333333, 3, 200
.01, 2.15, 50, 12.222222222222221, 10, 1.2222222222222221, 1, 3
.01, 1.2249999999999999, 50, 12.222222222222221, 10, 1.2222222222222221, 1, 19
.01, 0.7625, 50, 12.222222222222221, 10, 1.2222222222222221, 2, 7
.01, 0.9937499999999999, 50, 12.222222222222221, 10, 1.2222222222222221, 2, 22
.01, 0.99374999999999991, 50, 12.222222222222221, 10, 1.2222222222222221, 2, 22
.01, 1.0515625, 50, 12.222222222222221, 10, 1.2222222222222221, 2, 43
.01, 1.109375, 50, 12.222222222222221, 10, 1.2222222222222221, 3, 225
.01, 1.1671874999999998, 50, 12.222222222222221, 10, 1.2222222222222221, 1, 38
.01, 1.2249999999999999, 50, 12.222222222222221, 10, 1.2222222222222221, 1, 19
.01, 1.109375, 50, 12.222222222222221, 10, 1.2222222222222221, 1, 201
.01, 2.15, 50, 13.111111111111111, 10, 1.3111111111111111, 1, 3
.01, 1.2249999999999999, 50, 13.111111111111111, 10, 1.3111111111111111, 1, 28
.01, 0.7625, 50, 13.111111111111111, 10, 1.3111111111111111, 2, 7
.01, 0.9937499999999999, 50, 13.111111111111111, 10, 1.3111111111111111, 2, 18
.01, 1.109375, 50, 13.111111111111111, 10, 1.3111111111111111, 2, 59
.01, 1.1671874999999998, 50, 13.111111111111111, 10, 1.3111111111111111, 3, 200
.01, 2.15, 50, 14.0, 10, 1.3999999999999999, 1, 3
.01, 1.2249999999999999, 50, 14.0, 10, 1.3999999999999999, 1, 81
.01, 0.7625, 50, 14.0, 10, 1.3999999999999999, 2, 7
.01, 0.9937499999999999, 50, 14.0, 10, 1.3999999999999999, 2, 15
.01, 1.109375, 50, 14.0, 10, 1.3999999999999999, 2, 34
.01, 1.1671874999999998, 50, 14.0, 10, 1.3999999999999999, 2, 86
.01, 1.1960937499999997, 50, 14.0, 10, 1.3999999999999999, 3, 200
