epsilon, alpha, pop, dif1, dif2, difratio, winner, time
.01, 4.1, 50, 20, 1, 20, 1, 4
.01, 2.15, 50, 20, 1, 20, 2, 59
.01, 3.125, 50, 20, 1, 20, 2, 108
.01, 3.6125, 50, 20, 1, 20, 1, 4
.01, 3.36875, 50, 20, 1, 20, 2, 170
.01, 3.4906249999999996, 50, 20, 1, 20, 1, 5
.01, 3.4296875, 50, 20, 1, 20, 1, 5
.01, 3.39921875, 50, 20, 1, 20, 1, 5
.01, 3.383984375, 50, 20, 1, 20, 1, 6
.01, 3.3763671874999996, 50, 20, 1, 20, 1, 6
.01, 3.37255859375, 50, 20, 1, 20, 1, 6
.01, 3.370654296875, 50, 20, 1, 20, 1, 6
.01, 3.3697021484375, 50, 20, 1, 20, 1, 7
.01, 3.3692260742187496, 50, 20, 1, 20, 2, 184
.01, 3.3694641113281247, 50, 20, 1, 20, 1, 7
.01, 3.369345092773437, 50, 20, 1, 20, 1, 8
.01, 3.3692855834960933, 50, 20, 1, 20, 2, 199
.01, 3.369315338134765, 50, 20, 1, 20, 1, 8
.01, 3.3693004608154293, 50, 20, 1, 20, 1, 8
.01, 3.3692930221557615, 50, 20, 1, 20, 1, 9
.01, 3.369289302825927, 50, 20, 1, 20, 2, 204
.01, 3.3692911624908444, 50, 20, 1, 20, 2, 211
.01, 3.369292092323303, 50, 20, 1, 20, 1, 10
.01, 3.3692916274070734, 50, 20, 1, 20, 2, 214
.01, 3.3692918598651884, 50, 20, 1, 20, 2, 218
.01, 3.369291976094246, 50, 20, 1, 20, 3, 218
