epsilon, alpha, beta, pop, dif1, dif2, difratio, winner, time
.01, 1.15, 1, 50, 5.0, 10, 0.5, 1, 4
.01, 0.875, 1, 50, 5.0, 10, 0.5, 1, 27
.01, 0.7375, 1, 50, 5.0, 10, 0.5, 2, 3
.01, 0.80625, 1, 50, 5.0, 10, 0.5, 2, 4
.01, 0.840625, 1, 50, 5.0, 10, 0.5, 2, 7
.01, 0.8578125, 1, 50, 5.0, 10, 0.5, 2, 11
.01, 0.86640625, 1, 50, 5.0, 10, 0.5, 1, 59
.01, 0.862109375, 1, 50, 5.0, 10, 0.5, 2, 15
.01, 0.8642578125, 1, 50, 5.0, 10, 0.5, 2, 19
.01, 0.86533203125, 1, 50, 5.0, 10, 0.5, 2, 24
.01, 0.8658691406250001, 1, 50, 5.0, 10, 0.5, 2, 28
.01, 0.8661376953125001, 1, 50, 5.0, 10, 0.5, 2, 34
.01, 0.86627197265625, 1, 50, 5.0, 10, 0.5, 2, 42
.01, 0.866339111328125, 1, 50, 5.0, 10, 0.5, 1, 73
.01, 0.8663055419921875, 1, 50, 5.0, 10, 0.5, 2, 47
.01, 0.8663223266601563, 1, 50, 5.0, 10, 0.5, 2, 55
.01, 0.8663307189941407, 1, 50, 5.0, 10, 0.5, 3, 80
.01, 1.15, 1, 50, 6.0, 10, 0.59999999999999998, 1, 5
.01, 0.875, 1, 50, 6.0, 10, 0.59999999999999998, 2, 4
.01, 1.0125, 1, 50, 6.0, 10, 0.59999999999999998, 1, 11
.01, 0.94375, 1, 50, 6.0, 10, 0.59999999999999998, 2, 21
.01, 0.9781249999999999, 1, 50, 6.0, 10, 0.59999999999999998, 1, 16
.01, 0.9609375, 1, 50, 6.0, 10, 0.59999999999999998, 1, 22
.01, 0.95234375, 1, 50, 6.0, 10, 0.59999999999999998, 1, 28
.01, 0.948046875, 1, 50, 6.0, 10, 0.59999999999999998, 1, 37
.01, 0.9458984374999999, 1, 50, 6.0, 10, 0.59999999999999998, 2, 38
.01, 0.9469726562499999, 1, 50, 6.0, 10, 0.59999999999999998, 1, 42
.01, 0.9464355468749999, 1, 50, 6.0, 10, 0.59999999999999998, 1, 48
.01, 0.9461669921874999, 1, 50, 6.0, 10, 0.59999999999999998, 1, 56
.01, 0.94603271484375, 1, 50, 6.0, 10, 0.59999999999999998, 2, 53
.01, 0.9460998535156249, 1, 50, 6.0, 10, 0.59999999999999998, 1, 62
.01, 0.9460662841796874, 1, 50, 6.0, 10, 0.59999999999999998, 1, 69
.01, 0.9460494995117187, 1, 50, 6.0, 10, 0.59999999999999998, 2, 76
.01, 0.946057891845703, 1, 50, 6.0, 10, 0.59999999999999998, 1, 74
.01, 0.9460536956787109, 1, 50, 6.0, 10, 0.59999999999999998, 1, 79
.01, 0.9460515975952148, 1, 50, 6.0, 10, 0.59999999999999998, 3, 80
.01, 1.15, 1, 50, 7.0, 10, 0.69999999999999996, 1, 6
.01, 0.875, 1, 50, 7.0, 10, 0.69999999999999996, 2, 3
