epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 3, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 15, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 24, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 35, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 2, 5, 0
.01, 0.441015625, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 41, 0
.01, 0.4341796875, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 45, 0
.01, 0.43076171875, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 48, 0
.01, 0.429052734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 2, 6, 0
.01, 0.4299072265625, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 2, 7, 0
.01, 0.43033447265625, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 48, 0
.01, 0.430120849609375, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 49, 0
.01, 0.4300140380859375, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 49, 0
.01, 0.42996063232421877, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 2, 7, 0
.01, 0.42998733520507815, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 49, 0
.01, 0.42997398376464846, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 2, 7, 0
.01, 0.4299806594848633, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 1, 49, 0
.01, 0.4299773216247559, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 2, 7, 0
.01, 0.4299789905548096, 1, 50, 1.0, 20.0, 0.050000000000000003, 24.0, 3, 7, 1
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 8, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 17, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 34, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 4, 0
.01, 0.4820312499999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 7, 0
.01, 0.4957031249999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 40, 0
.01, 0.4888671874999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 45, 0
.01, 0.4854492187499999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 49, 0
.01, 0.4837402343749999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 52, 0
.01, 0.4828857421874999, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 8, 0
.01, 0.4833129882812499, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 8, 0
.01, 0.4835266113281249, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 53, 0
.01, 0.4834197998046874, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 9, 0
.01, 0.48347320556640616, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 9, 0
.01, 0.48349990844726554, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 9, 0
.01, 0.4835132598876952, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 53, 0
.01, 0.4835065841674804, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 2, 9, 0
.01, 0.4835099220275878, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 1, 53, 0
.01, 0.4835082530975341, 1, 50, 2.0, 19.0, 0.10526315789473684, 24.0, 3, 53, 1
.01, 2.15, 1, 50, 3.0, 18.0, 0.16666666666666666, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 3.0, 18.0, 0.16666666666666666, 24.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 24.0, 1, 9, 0
