epsilon, alpha, beta, pop, dif1, dif2, difratio, winner, time
.01, 1.25, 1, 80, 5.0, 10, 0.5, 1, 10
.01, 0.875, 1, 80, 5.0, 10, 0.5, 2, 8
.01, 1.0625, 1, 80, 5.0, 10, 0.5, 1, 16
.01, 0.96875, 1, 80, 5.0, 10, 0.5, 1, 25
.01, 0.921875, 1, 80, 5.0, 10, 0.5, 1, 38
.01, 0.8984375, 1, 80, 5.0, 10, 0.5, 2, 13
.01, 0.91015625, 1, 80, 5.0, 10, 0.5, 1, 50
.01, 0.904296875, 1, 80, 5.0, 10, 0.5, 2, 18
.01, 0.9072265625, 1, 80, 5.0, 10, 0.5, 2, 25
.01, 0.90869140625, 1, 80, 5.0, 10, 0.5, 1, 56
.01, 0.907958984375, 1, 80, 5.0, 10, 0.5, 2, 37
.01, 0.9083251953125, 1, 80, 5.0, 10, 0.5, 1, 61
.01, 0.90814208984375, 1, 80, 5.0, 10, 0.5, 1, 66
.01, 0.908050537109375, 1, 80, 5.0, 10, 0.5, 1, 77
.01, 0.9080047607421875, 1, 80, 5.0, 10, 0.5, 2, 42
.01, 0.9080276489257812, 1, 80, 5.0, 10, 0.5, 2, 48
.01, 0.9080390930175781, 1, 80, 5.0, 10, 0.5, 3, 80
.01, 1.25, 1, 80, 6.0, 10, 0.59999999999999998, 1, 11
.01, 0.875, 1, 80, 6.0, 10, 0.59999999999999998, 2, 5
.01, 1.0625, 1, 80, 6.0, 10, 0.59999999999999998, 1, 22
.01, 0.96875, 1, 80, 6.0, 10, 0.59999999999999998, 2, 11
.01, 1.015625, 1, 80, 6.0, 10, 0.59999999999999998, 1, 30
.01, 0.9921875, 1, 80, 6.0, 10, 0.59999999999999998, 1, 45
.01, 0.98046875, 1, 80, 6.0, 10, 0.59999999999999998, 2, 15
.01, 0.986328125, 1, 80, 6.0, 10, 0.59999999999999998, 2, 21
.01, 0.9892578125, 1, 80, 6.0, 10, 0.59999999999999998, 1, 57
.01, 0.98779296875, 1, 80, 6.0, 10, 0.59999999999999998, 2, 26
.01, 0.988525390625, 1, 80, 6.0, 10, 0.59999999999999998, 2, 33
.01, 0.9888916015625, 1, 80, 6.0, 10, 0.59999999999999998, 1, 65
.01, 0.98870849609375, 1, 80, 6.0, 10, 0.59999999999999998, 2, 41
.01, 0.988800048828125, 1, 80, 6.0, 10, 0.59999999999999998, 1, 73
