epsilon, alpha, beta, pop, dif1, dif2, difratio, winner, time
.01, 1.25, 1, 50, 8.0, 10, 0.80000000000000004, 1, 7
.01, 1.025, 1, 50, 8.0, 10, 0.80000000000000004, 2, 4
.01, 1.1375, 1, 50, 8.0, 10, 0.80000000000000004, 1, 31
.01, 1.0812499999999998, 1, 50, 8.0, 10, 0.80000000000000004, 2, 6
.01, 1.109375, 1, 50, 8.0, 10, 0.80000000000000004, 2, 9
.01, 1.1234375, 1, 50, 8.0, 10, 0.80000000000000004, 2, 11
.01, 1.13046875, 1, 50, 8.0, 10, 0.80000000000000004, 2, 15
.01, 1.1339843749999998, 1, 50, 8.0, 10, 0.80000000000000004, 2, 19
.01, 1.1357421875, 1, 50, 8.0, 10, 0.80000000000000004, 2, 27
.01, 1.13662109375, 1, 50, 8.0, 10, 0.80000000000000004, 1, 36
.01, 1.136181640625, 1, 50, 8.0, 10, 0.80000000000000004, 1, 51
.01, 1.1359619140625, 1, 50, 8.0, 10, 0.80000000000000004, 2, 31
.01, 1.13607177734375, 1, 50, 8.0, 10, 0.80000000000000004, 2, 35
.01, 1.1361267089843752, 1, 50, 8.0, 10, 0.80000000000000004, 2, 40
.01, 1.1361541748046875, 1, 50, 8.0, 10, 0.80000000000000004, 2, 51
.01, 1.1361679077148437, 1, 50, 8.0, 10, 0.80000000000000004, 1, 55
.01, 1.1361610412597656, 1, 50, 8.0, 10, 0.80000000000000004, 1, 60
.01, 1.1361576080322267, 1, 50, 8.0, 10, 0.80000000000000004, 1, 70
.01, 1.136155891418457, 1, 50, 8.0, 10, 0.80000000000000004, 2, 56
.01, 1.136156749725342, 1, 50, 8.0, 10, 0.80000000000000004, 2, 61
.01, 1.1361571788787843, 1, 50, 8.0, 10, 0.80000000000000004, 3, 80
.01, 1.25, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 8
.01, 1.025, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 4
.01, 1.1375, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 8
.01, 1.19375, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 14
.01, 1.165625, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 22
.01, 1.1796875, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 18
.01, 1.17265625, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 23
.01, 1.1691406249999998, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 28
.01, 1.1673828124999999, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 35
.01, 1.16650390625, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 28
.01, 1.1669433593749998, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 44
.01, 1.1667236328125, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 34
.01, 1.1668334960937499, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 46
.01, 1.1668884277343747, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 48
.01, 1.1668609619140624, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 52
.01, 1.1668472290039062, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 1, 60
.01, 1.166840362548828, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 2, 51
.01, 1.166843795776367, 1, 50, 8.4444444444444446, 10, 0.84444444444444444, 3, 80
.01, 1.25, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 10
.01, 1.025, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 3
.01, 1.1375, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 6
.01, 1.19375, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 18
.01, 1.221875, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 14
.01, 1.2078125000000002, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 19
.01, 1.2007812500000001, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 25
.01, 1.197265625, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 37
.01, 1.1955078125, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 22
.01, 1.19638671875, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 27
.01, 1.196826171875, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 37
.01, 1.1970458984375, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 41
.01, 1.19693603515625, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 47
.01, 1.1968811035156248, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 47
.01, 1.1969085693359374, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 52
.01, 1.196894836425781, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 60
.01, 1.196887969970703, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 53
.01, 1.1968914031982418, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 69
.01, 1.1968896865844725, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 58
.01, 1.1968905448913572, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 2, 66
.01, 1.1968909740447995, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 1, 74
.01, 1.1968907594680784, 1, 50, 8.8888888888888893, 10, 0.88888888888888895, 3, 80
.01, 1.25, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 14
.01, 1.025, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 3
.01, 1.1375, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 5
.01, 1.19375, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 8
.01, 1.221875, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 17
.01, 1.2359375, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 19
.01, 1.22890625, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 27
.01, 1.2253906250000002, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 24
.01, 1.2271484375000001, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 33
.01, 1.2262695312500003, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 37
.01, 1.226708984375, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 37
.01, 1.2264892578125002, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 41
.01, 1.2263793945312502, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 48
.01, 1.2263244628906254, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 45
