epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.0, 1, 50, 50, 5.0, 10, 0.5, 1, 12
.01, 0.75, 1, 50, 50, 5.0, 10, 0.5, 1, 57
.01, 0.625, 1, 50, 50, 5.0, 10, 0.5, 2, 16
.01, 0.6875, 1, 50, 50, 5.0, 10, 0.5, 3, 200
.01, 1.0, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 1, 13
.01, 0.75, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 1, 86
.01, 0.625, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 2, 13
.01, 0.6875, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 2, 40
.01, 0.71875, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 3, 200
.01, 1.0, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 13
.01, 0.75, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 170
.01, 0.625, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 2, 11
.01, 0.6875, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 2, 23
.01, 0.71875, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 2, 65
.01, 0.734375, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 3, 200
.01, 1.0, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 1, 14
.01, 0.75, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 3, 200
.01, 1.0, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 1, 15
.01, 0.75, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 2, 38
.01, 0.875, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 1, 35
.01, 0.8125, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 1, 99
.01, 0.78125, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 3, 200
.01, 1.0, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 1, 16
.01, 0.75, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 2, 25
.01, 0.875, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 1, 45
.01, 0.8125, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 3, 200
.01, 1.0, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 18
.01, 0.75, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 2, 19
.01, 0.875, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 62
.01, 0.8125, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 2, 112
.01, 0.84375, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 151
.01, 0.828125, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 3, 200
.01, 1.0, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 1, 20
.01, 0.75, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 2, 16
.01, 0.875, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 1, 104
.01, 0.8125, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 2, 41
.01, 0.84375, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 3, 200
.01, 1.0, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 1, 22
.01, 0.75, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 2, 14
.01, 0.875, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 3, 200
.01, 1.0, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 1, 26
.01, 0.75, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 2, 13
.01, 0.875, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 2, 114
.01, 0.9375, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 1, 59
.01, 0.90625, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 1, 157
.01, 0.890625, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 3, 200
.01, 1.0, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 1, 31
.01, 0.75, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 2, 12
.01, 0.875, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 2, 49
.01, 0.9375, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 1, 99
.01, 0.90625, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 3, 200
.01, 1.0, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 1, 38
.01, 0.75, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 2, 11
.01, 0.875, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 2, 33
.01, 0.9375, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 3, 200
.01, 1.0, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 52
.01, 0.75, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 10
.01, 0.875, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 26
.01, 0.9375, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 148
.01, 0.96875, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 139
.01, 0.953125, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 3, 200
.01, 1.0, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 1, 84
.01, 0.75, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 2, 9
.01, 0.875, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 2, 22
.01, 0.9375, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 2, 61
.01, 0.96875, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 3, 200
.01, 1.0, 1, 50, 50, 9.8275862068965516, 10, 0.98275862068965514, 3, 200
.01, 1.0, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 3, 200
.01, 1.0, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 2, 83
.01, 1.25, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 1, 11
.01, 1.125, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 1, 24
.01, 1.0625, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 1, 65
.01, 1.03125, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 3, 200
.01, 1.0, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 2, 52
.01, 1.25, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 12
.01, 1.125, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 28
.01, 1.0625, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 142
.01, 1.03125, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 2, 151
.01, 1.046875, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 3, 200
.01, 1.0, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 2, 39
.01, 1.25, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 1, 12
.01, 1.125, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 1, 35
.01, 1.0625, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 3, 200
.01, 1.0, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 2, 32
