epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.0, 1, 50, 50, 9.0, 10, 0.90000000000000002, 1, 46
.01, 0.75, 1, 50, 50, 9.0, 10, 0.90000000000000002, 2, 10
.01, 0.875, 1, 50, 50, 9.0, 10, 0.90000000000000002, 2, 28
.01, 0.9375, 1, 50, 50, 9.0, 10, 0.90000000000000002, 3, 300
.01, 1.0, 1, 50, 50, 9.068965517241379, 10, 0.90689655172413786, 1, 49
.01, 0.75, 1, 50, 50, 9.068965517241379, 10, 0.90689655172413786, 2, 10
.01, 0.875, 1, 50, 50, 9.068965517241379, 10, 0.90689655172413786, 2, 27
.01, 0.9375, 1, 50, 50, 9.068965517241379, 10, 0.90689655172413786, 2, 220
.01, 0.96875, 1, 50, 50, 9.068965517241379, 10, 0.90689655172413786, 1, 116
.01, 0.953125, 1, 50, 50, 9.068965517241379, 10, 0.90689655172413786, 3, 300
.01, 1.0, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 52
.01, 0.75, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 10
.01, 0.875, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 26
.01, 0.9375, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 148
.01, 0.96875, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 139
.01, 0.953125, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 3, 300
.01, 1.0, 1, 50, 50, 9.2068965517241388, 10, 0.92068965517241386, 1, 56
.01, 0.75, 1, 50, 50, 9.2068965517241388, 10, 0.92068965517241386, 2, 10
.01, 0.875, 1, 50, 50, 9.2068965517241388, 10, 0.92068965517241386, 2, 25
.01, 0.9375, 1, 50, 50, 9.2068965517241388, 10, 0.92068965517241386, 2, 113
.01, 0.96875, 1, 50, 50, 9.2068965517241388, 10, 0.92068965517241386, 1, 175
.01, 0.953125, 1, 50, 50, 9.2068965517241388, 10, 0.92068965517241386, 3, 300
.01, 1.0, 1, 50, 50, 9.2758620689655178, 10, 0.9275862068965518, 1, 61
.01, 0.75, 1, 50, 50, 9.2758620689655178, 10, 0.9275862068965518, 2, 10
.01, 0.875, 1, 50, 50, 9.2758620689655178, 10, 0.9275862068965518, 2, 24
.01, 0.9375, 1, 50, 50, 9.2758620689655178, 10, 0.9275862068965518, 2, 92
