epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.15, 1, 50, 50, 5.0, 10, 0.5, 1, 8
.01, 0.725, 1, 50, 50, 5.0, 10, 0.5, 1, 89
.01, 0.5125, 1, 50, 50, 5.0, 10, 0.5, 2, 7
.01, 0.6187499999999999, 1, 50, 50, 5.0, 10, 0.5, 2, 15
.01, 0.671875, 1, 50, 50, 5.0, 10, 0.5, 2, 63
.01, 0.6984375, 1, 50, 50, 5.0, 10, 0.5, 1, 189
.01, 0.68515625, 1, 50, 50, 5.0, 10, 0.5, 3, 250
.01, 1.15, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 1, 9
.01, 0.725, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 1, 176
.01, 0.5125, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 2, 7
.01, 0.6187499999999999, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 2, 12
.01, 0.671875, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 2, 25
.01, 0.6984375, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 2, 91
.01, 0.71171875, 1, 50, 50, 5.3448275862068968, 10, 0.53448275862068972, 3, 250
.01, 1.15, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 9
.01, 0.29999999999999999, 1, 114.99999999999999, 50, 5.6896551724137936, 10, 0.56896551724137934, 2, 5
.01, 0.51249999999999996, 1, 125.625, 50, 5.6896551724137936, 10, 0.56896551724137934, 2, 12
.01, 0.72499999999999987, 1, 136.24999999999997, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 50
.01, 0.9375, 1, 146.875, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 9
.01, 1.1499999999999999, 1, 157.5, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 6
.01, 0.725, 1, 50, 50, 5.6896551724137936, 10, 0.56896551724137934, 1, 251
.01, 1.15, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 1, 9
.01, 0.725, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 2, 34
.01, 0.9375, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 1, 19
.01, 0.83125, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 1, 46
.01, 0.778125, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 1, 143
.01, 0.7515624999999999, 1, 50, 50, 6.0344827586206895, 10, 0.60344827586206895, 3, 250
.01, 1.15, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 1, 9
.01, 0.725, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 2, 22
.01, 0.9375, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 1, 21
.01, 0.83125, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 1, 65
.01, 0.778125, 1, 50, 50, 6.3793103448275863, 10, 0.63793103448275867, 3, 250
.01, 1.15, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 1, 10
.01, 0.725, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 2, 18
.01, 0.9375, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 1, 24
.01, 0.83125, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 1, 108
.01, 0.778125, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 2, 49
.01, 0.8046875, 1, 50, 50, 6.7241379310344831, 10, 0.67241379310344829, 3, 250
.01, 1.15, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 10
.01, 0.725, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 2, 15
.01, 0.9375, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 28
.01, 0.72499999999999998, 1, 136.25, 50, 7.068965517241379, 10, 0.7068965517241379, 2, 54
.01, 0.77812499999999996, 1, 138.90625, 50, 7.068965517241379, 10, 0.7068965517241379, 2, 240
.01, 0.83125000000000004, 1, 141.5625, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 24
.01, 0.88437500000000002, 1, 144.21875, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 14
.01, 0.9375, 1, 146.875, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 11
.01, 0.83125, 1, 50, 50, 7.068965517241379, 10, 0.7068965517241379, 1, 251
.01, 1.15, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 1, 10
.01, 0.725, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 2, 13
.01, 0.9375, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 1, 33
.01, 0.83125, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 2, 92
.01, 0.884375, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 1, 80
.01, 0.8578125000000001, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 1, 222
.01, 0.8445312500000001, 1, 50, 50, 7.4137931034482758, 10, 0.74137931034482762, 3, 250
.01, 1.15, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 1, 11
.01, 0.725, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 2, 12
.01, 0.9375, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 1, 42
.01, 0.83125, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 2, 41
.01, 0.884375, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 1, 166
.01, 0.8578125000000001, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 2, 162
.01, 0.87109375, 1, 50, 50, 7.7586206896551726, 10, 0.77586206896551724, 3, 250
.01, 1.15, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 1, 11
.01, 0.725, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 2, 11
.01, 0.9375, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 1, 59
.01, 0.83125, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 2, 29
.01, 0.884375, 1, 50, 50, 8.1034482758620694, 10, 0.81034482758620696, 3, 250
.01, 1.15, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 1, 12
.01, 0.725, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 2, 10
.01, 0.9375, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 1, 99
.01, 0.83125, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 2, 23
.01, 0.884375, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 2, 66
.01, 0.9109375, 1, 50, 50, 8.4482758620689662, 10, 0.84482758620689657, 3, 250
.01, 1.15, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 1, 13
.01, 0.725, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 2, 9
.01, 0.72499999999999998, 1, 136.25, 50, 8.7931034482758612, 10, 0.87931034482758608, 2, 22
.01, 0.83124999999999993, 1, 141.5625, 50, 8.7931034482758612, 10, 0.87931034482758608, 2, 74
.01, 0.9375, 1, 146.875, 50, 8.7931034482758612, 10, 0.87931034482758608, 1, 15
.01, 1.04375, 1, 152.1875, 50, 8.7931034482758612, 10, 0.87931034482758608, 1, 8
.01, 1.1499999999999999, 1, 157.5, 50, 8.7931034482758612, 10, 0.87931034482758608, 1, 6
.01, 0.9375, 1, 50, 50, 8.7931034482758612, 10, 0.87931034482758608, 1, 251
.01, 1.15, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 13
.01, 0.725, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 9
.01, 0.9375, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 2, 148
.01, 1.04375, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 28
.01, 0.990625, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 64
.01, 0.9640625, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 1, 184
.01, 0.95078125, 1, 50, 50, 9.137931034482758, 10, 0.9137931034482758, 3, 250
.01, 1.15, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 1, 14
.01, 0.725, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 2, 9
.01, 0.9375, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 2, 61
.01, 1.04375, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 1, 34
.01, 0.990625, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 1, 122
.01, 0.9640625, 1, 50, 50, 9.4827586206896548, 10, 0.94827586206896552, 3, 250
.01, 1.15, 1, 50, 50, 9.8275862068965516, 10, 0.98275862068965514, 1, 16
.01, 0.725, 1, 50, 50, 9.8275862068965516, 10, 0.98275862068965514, 2, 8
.01, 0.9375, 1, 50, 50, 9.8275862068965516, 10, 0.98275862068965514, 2, 41
.01, 1.04375, 1, 50, 50, 9.8275862068965516, 10, 0.98275862068965514, 1, 45
.01, 0.990625, 1, 50, 50, 9.8275862068965516, 10, 0.98275862068965514, 3, 250
.01, 1.15, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 1, 17
.01, 0.725, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 2, 8
.01, 0.9375, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 2, 31
.01, 1.04375, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 1, 67
.01, 0.990625, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 2, 119
.01, 1.0171875, 1, 50, 50, 10.172413793103448, 10, 1.0172413793103448, 3, 250
.01, 1.15, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 1, 19
.01, 0.725, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 2, 8
.01, 0.9375, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 2, 26
.01, 1.04375, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 1, 146
.01, 0.990625, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 2, 62
.01, 1.0171875, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 2, 201
.01, 1.0304687499999998, 1, 50, 50, 10.517241379310345, 10, 1.0517241379310345, 3, 250
.01, 1.15, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 22
.01, 0.725, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 2, 7
.01, 0.9375, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 2, 22
.01, 0.9375, 1, 146.875, 50, 10.862068965517242, 10, 1.0862068965517242, 2, 85
.01, 0.99062499999999998, 1, 149.53125, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 22
.01, 1.04375, 1, 152.1875, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 11
.01, 1.0968749999999998, 1, 154.84375, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 8
.01, 1.1499999999999999, 1, 157.5, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 7
.01, 1.04375, 1, 50, 50, 10.862068965517242, 10, 1.0862068965517242, 1, 251
.01, 1.15, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 1, 25
.01, 0.725, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 2, 7
.01, 0.9375, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 2, 20
.01, 1.04375, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 2, 116
.01, 1.0968749999999998, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 1, 66
.01, 1.0703125, 1, 50, 50, 11.206896551724139, 10, 1.1206896551724139, 3, 250
.01, 1.15, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 1, 31
.01, 0.725, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 2, 7
.01, 0.9375, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 2, 18
.01, 1.04375, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 2, 67
.01, 1.0968749999999998, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 1, 161
.01, 1.0703125, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 2, 184
.01, 1.08359375, 1, 50, 50, 11.551724137931036, 10, 1.1551724137931036, 3, 250
.01, 1.15, 1, 50, 50, 11.896551724137932, 10, 1.1896551724137931, 1, 40
.01, 0.725, 1, 50, 50, 11.896551724137932, 10, 1.1896551724137931, 2, 7
.01, 0.9375, 1, 50, 50, 11.896551724137932, 10, 1.1896551724137931, 2, 16
.01, 1.04375, 1, 50, 50, 11.896551724137932, 10, 1.1896551724137931, 2, 48
.01, 1.0968749999999998, 1, 50, 50, 11.896551724137932, 10, 1.1896551724137931, 3, 250
.01, 1.15, 1, 50, 50, 12.241379310344829, 10, 1.2241379310344829, 1, 60
.01, 0.725, 1, 50, 50, 12.241379310344829, 10, 1.2241379310344829, 2, 7
.01, 0.9375, 1, 50, 50, 12.241379310344829, 10, 1.2241379310344829, 2, 15
.01, 1.04375, 1, 50, 50, 12.241379310344829, 10, 1.2241379310344829, 2, 38
.01, 1.0968749999999998, 1, 50, 50, 12.241379310344829, 10, 1.2241379310344829, 2, 124
.01, 1.1234374999999999, 1, 50, 50, 12.241379310344829, 10, 1.2241379310344829, 3, 250
.01, 1.15, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 1, 150
.01, 0.725, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 2, 6
.01, 0.9375, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 2, 14
.01, 1.04375, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 2, 32
.01, 1.0968749999999998, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 2, 75
.01, 1.1234374999999999, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 2, 193
.01, 1.13671875, 1, 50, 50, 12.586206896551724, 10, 1.2586206896551724, 3, 250
.01, 0.29999999999999999, 1, 114.99999999999999, 50, 12.931034482758621, 10, 1.2931034482758621, 2, 4
.01, 0.72499999999999998, 1, 136.25, 50, 12.931034482758621, 10, 1.2931034482758621, 2, 12
.01, 1.1499999999999999, 1, 157.5, 50, 12.931034482758621, 10, 1.2931034482758621, 1, 8
.01, 1.575, 1, 178.75, 50, 12.931034482758621, 10, 1.2931034482758621, 1, 3
.01, 2.0, 1, 200.0, 50, 12.931034482758621, 10, 1.2931034482758621, 1, 2
.01, 1.15, 1, 50, 50, 12.931034482758621, 10, 1.2931034482758621, 1, 251
.01, 1.15, 1, 50, 50, 13.275862068965518, 10, 1.3275862068965518, 2, 140
.01, 1.575, 1, 50, 50, 13.275862068965518, 10, 1.3275862068965518, 1, 6
.01, 1.3624999999999998, 1, 50, 50, 13.275862068965518, 10, 1.3275862068965518, 1, 11
.01, 1.2562499999999999, 1, 50, 50, 13.275862068965518, 10, 1.3275862068965518, 1, 21
.01, 1.203125, 1, 50, 50, 13.275862068965518, 10, 1.3275862068965518, 1, 51
.01, 1.1765625, 1, 50, 50, 13.275862068965518, 10, 1.3275862068965518, 3, 250
.01, 1.15, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 2, 86
.01, 1.575, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 1, 6
.01, 1.3624999999999998, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 1, 11
.01, 1.2562499999999999, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 1, 25
.01, 1.203125, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 1, 111
.01, 1.1765625, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 2, 220
.01, 1.18984375, 1, 50, 50, 13.620689655172415, 10, 1.3620689655172415, 3, 250
.01, 1.15, 1, 50, 50, 13.965517241379311, 10, 1.396551724137931, 2, 62
